Tên Sản Phẩm,Giá (VNĐ),Đã Bán,Tên Shop,Shop ID,Link Sản Phẩm
Laptop Gaming đồ hoạ cũ HP 4540s Core i5 /Ram 8Gb/Ổ SSD /Màn to/ MáyTính Rẻ,4000000,74,Shop_ID_796323094,796323094,https://shopee.vn/Laptop-Gaming--ho-c-HP-4540s-Core-i5-Ram-8Gb-SSD-Mn-to-MyTnh-R-i.796323094.21020436735
máy laptop toshiba r732 i5 3320m .ram 4gb .xách tay nhật bản,3290000,0,Shop_ID_269768130,269768130,https://shopee.vn/my-laptop-toshiba-r732-i5-3320m-ram-4gb-xch-tay-nht-bn-i.269768130.11732223983
"💻HP ENVY/SPECTRE 2IN1 X360 *LAPTOP DOANH NHÂN SANG TRỌNG *AMD RYZEN *MÀN HÌNH CẢM ỨNG 13.3"" FHD ZIN",5290000,5,Shop_ID_1515488932,1515488932,https://shopee.vn/HP-ENVYSPECTRE-2IN1-X360-LAPTOP-DOANH-NHN-SANG-TRNG-AMD-RYZEN-MN-HNH-CM-NG-133-FHD-ZIN-i.1515488932.24943772686
LENOVO THINKPAD X260 I5 6300U/ RAM 8GB/ SSD 256G/ 12.5 inch,3650000,4,Shop_ID_127628226,127628226,https://shopee.vn/LENOVO-THINKPAD-X260-I5-6300U-RAM-8GB-SSD-256G-125-inch-i.127628226.25525180423
"[Chỉ GH tận nơi] Asus Vivobook 15 X1502VA-BQ886W i7-13620H/16GB/512GB/15.6"" FHD/Win11",19930000,54,Shop_ID_1431261217,1431261217,https://shopee.vn/Ch-GH-tn-ni-Asus-Vivobook-15-X1502VA-BQ886W-i7-13620H16GB512GB156-FHDWin11-i.1431261217.26937818974
Laptop Gaming Asus TUF FX506 Core i7 10750H/ Ram 16Gb/ SSD Mvme 512Gb/ GTX 1650Ti/ 15.6'' IPS FHD 144H,12950000,8,Shop_ID_504512,504512,https://shopee.vn/Laptop-Gaming-Asus-TUF-FX506-Core-i7-10750H-Ram-16Gb-SSD-Mvme-512Gb-GTX-1650Ti-156-IPS-FHD-144H-i.504512.44062220961
Laptop Dell 15 DC15255 DC5R5802W1 /R5-7530U/16GB/512GB/15.6FHD120Hz,16545000,16,Shop_ID_514123059,514123059,https://shopee.vn/Laptop-Dell-15-DC15255-DC5R5802W1-R5-7530U16GB512GB156FHD120Hz-i.514123059.43527903223
Laptop xoay 360 độ 2 in 1 cảm ứng dell latitude 7390 i5 8250u ram 16gb ssd 256gb 13.3 inch likenew,7299000,1,Shop_ID_304873726,304873726,https://shopee.vn/Laptop-xoay-360--2-in-1-cm-ng-dell-latitude-7390-i5-8250u-ram-16gb-ssd-256gb-133-inch-likenew-i.304873726.29119265769
Laptop Dell N5110 i7 có Card rời,5500000,1,Shop_ID_12945651,12945651,https://shopee.vn/Laptop-Dell-N5110-i7-c-Card-ri-i.12945651.11695991056
Laptop core 2 Core i3 Core i5 giá rẻ hợp túi tiền phục vụ Học tập giải trí,1548794,12,Shop_ID_10859239,10859239,https://shopee.vn/Laptop-core-2-Core-i3-Core-i5-gi-r-hp-ti-tin-phc-v-Hc-tp-gii-tr-i.10859239.19988957346
"🌟 DELL LATITUDE 7290 i5th8– LAPTOP DOANH NHÂN “CHẤT” NHƯ NƯỚC CẤT! 🌟 💰 Giá chưa đến 4 triệu –Nhỏ gọn, mạnh mẽ, pin trâu",3990000,7,Shop_ID_18675286,18675286,https://shopee.vn/DELL-LATITUDE-7290-i5th8-LAPTOP-DOANH-NHN-CHT-NH-NC-CT---Gi-cha-n-4-triu-Nh-gn-mnh-m-pin-tru-i.18675286.28375074247
Máy tính Surface Go | Intel thế hệ 7 4415Y | Ram 4/8GB | SSD 64/128GB | 10 inch siêu nhẹ 3,2960999,13,Shop_ID_16449163,16449163,https://shopee.vn/My-tnh-Surface-Go--Intel-th-h-7-4415Y--Ram-48GB--SSD-64128GB--10-inch-siu-nh-3-i.16449163.50651863240
Laptop Gaming Asus FX506 Ram 16Gb SSD 512G GTX 1650 Màn 120hz Cân Mọi Tác Vụ Game max Setting,14500000,51,Shop_ID_796323094,796323094,https://shopee.vn/Laptop-Gaming-Asus-FX506-Ram-16Gb-SSD-512G-GTX-1650-Mn-120hz-Cn-Mi-Tc-V-Game-max-Setting-i.796323094.23817728732
"LAPTOP ACER NITRO AN515-43, RYZEN 7 3750H, 8G, SSD 256G, RX 560X  4G, MÀN 15.6IN FHD IPS TRÀN VIỀN, LED ĐỎ",8500000,2,Shop_ID_250780405,250780405,https://shopee.vn/LAPTOP-ACER-NITRO-AN515-43-RYZEN-7-3750H-8G-SSD-256G-RX-560X--4G-MN-156IN-FHD-IPS-TRN-VIN-LED-i.250780405.48657119186
"LAPTOP GAMING MSI SWORD 15 A11UD, I7-11800H, 8G, SSD 256G, RTX 3050Ti 4G, MÀN 15.6IN FHD IPS TRÀN VIỀN 144Hz",13800000,0,Shop_ID_250780405,250780405,https://shopee.vn/LAPTOP-GAMING-MSI-SWORD-15-A11UD-I7-11800H-8G-SSD-256G-RTX-3050Ti-4G-MN-156IN-FHD-IPS-TRN-VIN-144Hz-i.250780405.51956729661
Laptop Gaming MSI GL63 8RC Core i7-8750H new 95% - Tặng Chuột + Lót LogiTech + 02 Túi Chống Sốc Loại Xịn + Voucher Vệ S,8550000,0,Shop_ID_1146107898,1146107898,https://shopee.vn/Laptop-Gaming-MSI-GL63-8RC-Core-i7-8750H-new-95---Tng-Chut--Lt-LogiTech--02-Ti-Chng-Sc-Loi-Xn--Voucher-V-S-i.1146107898.46456428138
"Laptop Lenovo Gaming LOQ E 15IAX9E i5 12450HX/16GB/512GB/15.6""FHD/RTX 3050 6GB/Win 11",22490000,163,Shop_ID_1431261217,1431261217,https://shopee.vn/Laptop-Lenovo-Gaming-LOQ-E-15IAX9E-i5-12450HX16GB512GB156FHDRTX-3050-6GBWin-11-i.1431261217.43405771246
"Túi chống sốc , chống nước bảo vệ LapTop 13inch,14inch,15.6 inch SHINE TORE ST- 001",19000,6000,Shop_ID_433873285,433873285,https://shopee.vn/Ti-chng-sc--chng-nc-bo-v-LapTop-13inch14inch156-inch-SHINE-TORE-ST--001-i.433873285.22338737896
Surface Laptop 3 | Core i5-1035G7 | Ram 8GB | SSD 256GB | 13.5 inch cảm ứng đẳng cấp doanh nhân TD,9294333,1,Shop_ID_16449163,16449163,https://shopee.vn/Surface-Laptop-3--Core-i5-1035G7--Ram-8GB--SSD-256GB--135-inch-cm-ng-ng-cp-doanh-nhn-TD-i.16449163.54202215610
"ASUS TUF GAMING FX505DY, RYZEN 5 3550H, 8G, SSD 256G, RX 560X 4G, MÀN 15.6IN FHD IPS TRÀN VIỀN 120HZ, LED ĐỎ, PIN 3H",8100000,1,Shop_ID_250780405,250780405,https://shopee.vn/ASUS-TUF-GAMING-FX505DY-RYZEN-5-3550H-8G-SSD-256G-RX-560X-4G-MN-156IN-FHD-IPS-TRN-VIN-120HZ-LED--PIN-3H-i.250780405.47857290148
Laptop CMS văn phòng cực bền thanh lý văn phòng,1599000,3,Shop_ID_38429506,38429506,https://shopee.vn/Laptop-CMS-vn-phng-cc-bn-thanh-l-vn-phng-i.38429506.750960823
Laptop Lenovo Thinkpad L390 | I3/I5 THẾ HỆ (GEN) 8/10 | Ram 8GB | SSD 256GB | 13.3 inch,4999999,2,Shop_ID_81687671,81687671,https://shopee.vn/Laptop-Lenovo-Thinkpad-L390--I3I5-TH-H-GEN-810--Ram-8GB--SSD-256GB--133-inch-i.81687671.26353866887
